"time","health"
5485,50.7618324
5490,50.7618324
5495,50.7339059
5500,45.2198816
5505,45.2198816
5510,46.5908253
5515,46.5908253
5520,46.5445269
5525,44.4975801
5530,45.8188116
5535,47.9937961
5540,43.9811873
5545,43.9811873
5550,43.9811873
5555,43.9811873
5560,43.9811873
5565,49.3670123
5570,49.3670123
5575,53.4551287
5580,49.3424188
5585,49.3424188
5590,57.5767367
5595,57.5767367
5600,57.5767367
5605,57.5767367
5610,57.5767367
5615,57.5767367
5620,52.2706916
5625,54.847343
5630,54.847343
5635,49.3340964
5640,42.4394728
5645,53.3396453
5650,44.5091345
5655,56.0252353
5660,50.667054
5665,54.8103063
5670,46.5982084
5675,53.4649358
5680,56.1250536
5685,56.1250536
5690,45.8691096
5695,50.6027776
5700,50.6787094
5705,50.6787094
5710,45.1711996
5715,50.6819818
5720,53.4955792
5725,54.8202043
5730,49.9742849
5735,49.9742849
5740,49.9742849
5745,49.9742849
5750,49.9742849
5755,49.9742849
5760,47.9106933
5765,47.9106933
5770,47.9106933
5775,47.9106933
5780,56.1431427
5785,53.4311917
5790,54.7953886
5795,54.7953886
5800,54.7953886
5805,54.7953886
5810,53.3487858
5815,53.4163245
5820,53.4699252
5825,53.4739955
5830,53.4739955
5835,53.4739955
5840,56.1975817
5845,54.6477165
5850,54.754928
5855,54.754928
5860,54.754928
5865,54.754928
5870,54.754928
5875,60.1872938
5880,60.1872938
5885,45.154676
5890,45.154676
5895,45.154676
5900,45.154676
5905,45.154676
5910,45.154676
5915,60.2589937
5920,60.3077666
5925,54.9141444
5930,64.3368889
5935,54.7986711
5940,58.8979581
5945,50.7587216
5950,53.4765912
5955,52.6271711
5960,72.6370992
5965,60.31922
5970,58.9861816
5975,68.5112391
5980,64.7552208
5985,60.4395817
5990,56.2768263
5995,64.4919239
6000,60.3843549
6005,60.3843549
6010,52.4836501
6015,57.6955632
6020,57.6955632
6025,64.3056597
6030,63.0732981
6035,54.9180834
6040,67.1950475
6045,60.3365415
6050,65.7655743
6055,57.6335997
6060,64.520012
6065,59.0265311
6070,59.0265311
6075,59.0265311
6080,59.0265311
6085,59.0265311
6090,58.9095327
6095,64.3525136
6100,67.1686562
6105,67.1686562
6110,64.3096088
6115,54.8423132
6120,64.4458073
6125,62.9972855
6130,57.7013
6135,56.3262052
6140,61.6406838
6145,53.9220719
6150,51.1835579
6155,65.8546765
6160,64.4021753
6165,48.0812116
6170,56.3336792
6175,64.4936914
6180,61.7784882
6185,61.7272509
6190,65.8117818
6195,59.0009579
6200,59.0009579
6205,59.0009579
6210,59.0009579
6215,59.0009579
6220,59.0009579
6225,58.9935546
6230,58.9935546
6235,54.9469088
6240,54.9469088
6245,54.9469088
6250,54.9469088
6255,54.9469088
6260,54.9463533
6265,50.8888702
6270,57.7011485
6275,55.2796331
6280,60.3811027
6285,50.8007174
6290,54.9164674
6295,54.9164674
6300,60.321644
6305,52.2054052
6310,52.2054052
6315,60.353863
6320,60.353863
6325,54.9214669
6330,57.6459217
6335,60.2976969
6340,57.6493153
6345,75.2716741
6350,75.2716741
6355,75.2716741
6360,53.6051036
6365,53.6051036
6370,53.6051036
6375,53.6051036
6380,53.6051036
6385,53.6051036
6390,52.2308269
6395,52.2308269
6400,52.2308269
6405,60.4271991
6410,64.4547155
6415,55.2441619
6420,63.0963362
6425,63.0963362
6430,67.1949869
6435,67.1949869
6440,67.1949869
6445,55.0996612
6450,65.8718465
6455,70.0282389
6460,70.0282389
6465,70.0282389
6470,70.0282389
6475,60.4544388
6480,60.4544388
6485,60.4544388
6490,60.4544388
6495,60.4544388
6500,60.4544388
6505,63.1713085
6510,65.9470915
6515,65.9470915
6520,65.9470915
6525,65.9470915
6530,65.9470915
6535,61.890275
6540,67.3335286
6545,63.204285
