time,ax,ay,az,aT
2.9480,0.4265,-2.4215,1.0370,2.669
2.9860,-0.0898,-0.7882,-0.1590,0.809
2.9880,-1.3635,-1.0497,-2.3762,2.934
2.9900,-1.0059,1.0071,-2.1069,2.543
2.9910,-0.6666,0.6913,-1.3430,1.651
3.0040,0.5915,0.9920,0.9234,1.479
3.0140,0.9118,2.1334,-0.2795,2.337
3.0150,1.4595,2.1666,-0.9076,2.766
3.0280,0.4815,-0.3972,1.3076,1.449
3.0350,-0.2311,-1.6581,-1.8250,2.477
3.0550,-0.1351,-1.7517,0.0903,1.759
3.0560,-0.9821,-0.6620,1.1005,1.617
3.0670,0.0090,1.3323,-0.9490,1.636
3.0760,-0.6671,-0.4538,-1.1931,1.440
3.0870,0.6288,1.1536,-0.8339,1.556
3.0960,0.0589,0.5556,-0.5655,0.795
3.1080,0.5228,0.3846,1.8874,1.996
3.1160,-0.0947,-0.6116,0.2953,0.686
3.1270,-0.3904,-1.9673,-1.6489,2.596
3.1360,-0.5073,-1.9762,-1.4384,2.496
3.1530,-0.8020,-1.9230,1.5672,2.607
3.1790,0.6590,1.7027,0.4857,1.889
3.1790,-0.8129,0.5777,0.3684,1.063
3.1800,0.8424,0.3576,-1.7421,1.968
3.1870,-0.1333,-0.7669,1.1046,1.351
3.1950,0.6168,-1.9349,0.9525,2.243
3.2100,-0.5728,-0.4704,-0.8015,1.092
3.2160,-1.1240,-0.4118,-0.1948,1.213
3.2270,-0.9303,1.1206,-0.9239,1.725
3.2360,-0.1781,-0.7530,0.0890,0.779
3.2500,0.4192,0.8508,0.5823,1.113
3.2860,0.6682,1.7888,-1.1355,2.222
3.2900,0.6717,1.5840,1.3425,2.182
3.2990,0.4096,-0.1220,-0.0843,0.436
3.3010,0.9151,-2.2146,0.8051,2.528
3.3020,0.5516,-1.8537,-0.9392,2.150
3.3090,-1.6496,0.0290,1.7840,2.430
3.3150,0.0695,1.0067,-2.0443,2.280
3.3270,0.3619,0.4423,2.2293,2.301
3.3360,0.7165,0.0579,-0.1314,0.731
3.3550,0.5229,0.6220,0.0242,0.813
3.3570,0.5045,-2.0854,2.0066,2.938
3.3670,-0.4189,-0.0407,-1.8339,1.882
3.3790,-0.7563,-1.6499,-1.2331,2.194
3.3920,0.1446,-1.1659,2.2552,2.543
3.3960,0.5421,0.8240,0.7934,1.266
3.4150,0.4093,1.0656,0.1757,1.155
3.4180,-0.0478,1.1648,-0.5845,1.304
3.4300,1.1473,0.6953,0.5862,1.464
3.4350,-0.0972,-0.5848,0.0762,0.598
3.4480,0.9151,-1.6412,-0.0077,1.879
3.4600,0.6069,-0.4950,0.9499,1.231
3.4810,-1.5720,-0.6895,-0.8603,1.920
3.4820,-0.6090,1.4895,-1.9389,2.520
3.4870,-0.2846,0.0180,-0.1205,0.310
3.4950,0.1751,-0.4830,2.1456,2.206
3.5100,1.1113,1.7705,-2.6368,3.365
3.5150,-0.0636,2.0091,-0.8376,2.178
3.5280,-0.9392,0.0686,-2.9516,3.098
3.5350,-0.3186,-1.3203,-0.2783,1.386
3.5550,0.6432,-2.2176,1.6011,2.810
3.5750,-0.7302,1.1065,1.1510,1.756
3.5780,-0.6760,1.0513,-1.3114,1.812
3.5790,-1.0360,-0.0082,-0.5619,1.179
3.5870,-0.4273,-0.2138,-0.0291,0.479
3.5960,2.6830,1.5040,3.4714,4.638
3.6100,0.0798,-0.3543,-1.1494,1.205
3.6150,0.4720,-0.5649,-1.0070,1.247
3.6280,-1.4963,-0.7329,-2.0988,2.680
3.6360,-0.2896,-0.4566,-0.3942,0.669
3.6470,0.5554,0.3463,-0.1440,0.670
3.6550,0.3546,1.3833,-0.1176,1.433
3.6730,0.6470,1.7318,-0.7760,2.005
3.6760,-0.3513,0.3334,-0.7567,0.898
3.6870,-0.2805,-0.4429,-0.5328,0.747
3.6960,0.7498,-1.5168,0.9170,1.925
3.7130,0.1938,-0.9194,2.4935,2.665
3.7170,-1.1846,-0.3993,-2.5871,2.873
3.7270,-0.5390,2.2449,-2.2483,3.223
3.7350,-0.8112,0.6898,-1.2390,1.634
3.7550,0.6682,1.2244,0.1978,1.409
3.7550,2.4347,2.3160,1.2120,3.572
3.7670,0.9299,2.1828,-0.6634,2.464
3.7790,-0.4348,0.3875,-1.7985,1.890
3.7870,-0.9393,-2.1321,0.7762,2.456
3.7960,-0.1026,-1.3715,1.0420,1.726
3.8110,0.2176,0.3827,1.4442,1.510
3.8150,0.1514,0.9939,-2.2044,2.423
3.8280,-0.5697,-0.6577,-0.5784,1.045
3.8350,-0.3317,-0.2967,-0.7614,0.882
3.8470,0.8373,0.3799,1.2055,1.516
3.8550,0.2473,-0.3448,-0.4920,0.650
3.8740,0.9745,-0.1439,0.2500,1.016
3.8800,-1.6869,-2.6117,-0.1525,3.113
3.8870,-1.0274,-0.2606,-0.9646,1.433
3.8970,0.0873,0.1507,-0.2058,0.270
3.9070,0.0853,1.0784,0.4609,1.176
3.9150,0.7389,1.2904,0.8944,1.735
3.9280,-0.3805,0.0091,-1.1405,1.202
3.9360,-0.3378,-0.5339,-0.7921,1.013
3.9500,0.5911,-2.6635,0.7831,2.839
3.9560,-1.0552,-0.6326,1.4949,1.936
3.9800,-0.6300,0.2819,-2.6534,2.742
3.9830,-1.0528,0.5336,-1.4086,1.838
3.9870,-1.0133,-1.6627,0.8552,2.127
3.9980,0.6511,1.2483,1.1377,1.810
4.0110,0.9573,1.2867,0.0819,1.606
4.0150,-0.1659,-0.4142,-0.6902,0.822
